Book|Chapter|Verse|Text
John|1|1|ἐν ἀρχῇ ἦν ὁ λόγος, καὶ ὁ λόγος ἦν πρὸς τὸν θεόν, καὶ θεὸς ἦν ὁ λόγος.
John|1|2|οὖτος ἦν ἐν ἀρχῇ πρὸς τὸν θεόν.
John|1|3|πάντα δι᾽ αὐτοῦ ἐγένετο, καὶ χωρὶς αὐτοῦ ἐγένετο οὐδὲ ἕν. ὃ γέγονεν
John|1|4|ἐν αὐτῶ ζωὴ ἦν, καὶ ἡ ζωὴ ἦν τὸ φῶς τῶν ἀνθρώπων·
John|1|5|καὶ τὸ φῶς ἐν τῇ σκοτίᾳ φαίνει, καὶ ἡ σκοτία αὐτὸ οὐ κατέλαβεν.
John|1|6|ἐγένετο ἄνθρωπος ἀπεσταλμένος παρὰ θεοῦ, ὄνομα αὐτῶ ἰωάννης·
John|1|7|οὖτος ἦλθεν εἰς μαρτυρίαν, ἵνα μαρτυρήσῃ περὶ τοῦ φωτός, ἵνα πάντες πιστεύσωσιν δι᾽ αὐτοῦ.
John|1|8|οὐκ ἦν ἐκεῖνος τὸ φῶς, ἀλλ᾽ ἵνα μαρτυρήσῃ περὶ τοῦ φωτός.
John|1|9|ἦν τὸ φῶς τὸ ἀληθινόν, ὃ φωτίζει πάντα ἄνθρωπον, ἐρχόμενον εἰς τὸν κόσμον.
John|1|10|ἐν τῶ κόσμῳ ἦν, καὶ ὁ κόσμος δι᾽ αὐτοῦ ἐγένετο, καὶ ὁ κόσμος αὐτὸν οὐκ ἔγνω.
John|1|11|εἰς τὰ ἴδια ἦλθεν, καὶ οἱ ἴδιοι αὐτὸν οὐ παρέλαβον.
John|1|12|ὅσοι δὲ ἔλαβον αὐτόν, ἔδωκεν αὐτοῖς ἐξουσίαν τέκνα θεοῦ γενέσθαι, τοῖς πιστεύουσιν εἰς τὸ ὄνομα αὐτοῦ,
John|1|13|οἳ οὐκ ἐξ αἱμάτων οὐδὲ ἐκ θελήματος σαρκὸς οὐδὲ ἐκ θελήματος ἀνδρὸς ἀλλ᾽ ἐκ θεοῦ ἐγεννήθησαν.
John|1|14|καὶ ὁ λόγος σὰρξ ἐγένετο καὶ ἐσκήνωσεν ἐν ἡμῖν, καὶ ἐθεασάμεθα τὴν δόξαν αὐτοῦ, δόξαν ὡς μονογενοῦς παρὰ πατρός, πλήρης χάριτος καὶ ἀληθείας.
John|1|15|ἰωάννης μαρτυρεῖ περὶ αὐτοῦ καὶ κέκραγεν λέγων, οὖτος ἦν ὃν εἶπον, ὁ ὀπίσω μου ἐρχόμενος ἔμπροσθέν μου γέγονεν, ὅτι πρῶτός μου ἦν.
John|1|16|ὅτι ἐκ τοῦ πληρώματος αὐτοῦ ἡμεῖς πάντες ἐλάβομεν, καὶ χάριν ἀντὶ χάριτος·
John|1|17|ὅτι ὁ νόμος διὰ μωϊσέως ἐδόθη, ἡ χάρις καὶ ἡ ἀλήθεια διὰ ἰησοῦ χριστοῦ ἐγένετο.
John|1|18|θεὸν οὐδεὶς ἑώρακεν πώποτε· μονογενὴς θεὸς ὁ ὢν εἰς τὸν κόλπον τοῦ πατρὸς ἐκεῖνος ἐξηγήσατο.
John|1|19|καὶ αὕτη ἐστὶν ἡ μαρτυρία τοῦ ἰωάννου, ὅτε ἀπέστειλαν [πρὸς αὐτὸν] οἱ ἰουδαῖοι ἐξ ἱεροσολύμων ἱερεῖς καὶ λευίτας ἵνα ἐρωτήσωσιν αὐτόν, σὺ τίς εἶ;
John|1|20|καὶ ὡμολόγησεν καὶ οὐκ ἠρνήσατο, καὶ ὡμολόγησεν ὅτι ἐγὼ οὐκ εἰμὶ ὁ χριστός.
John|1|21|καὶ ἠρώτησαν αὐτόν, τί οὗν; σύ ἠλίας εἶ; καὶ λέγει, οὐκ εἰμί. ὁ προφήτης εἶ σύ; καὶ ἀπεκρίθη, οὔ.
John|1|22|εἶπαν οὗν αὐτῶ, τίς εἶ; ἵνα ἀπόκρισιν δῶμεν τοῖς πέμψασιν ἡμᾶς· τί λέγεις περὶ σεαυτοῦ;
John|1|23|ἔφη, ἐγὼ φωνὴ βοῶντος ἐν τῇ ἐρήμῳ, εὐθύνατε τὴν ὁδὸν κυρίου, καθὼς εἶπεν ἠσαΐας ὁ προφήτης.
John|1|24|καὶ ἀπεσταλμένοι ἦσαν ἐκ τῶν φαρισαίων.
John|1|25|καὶ ἠρώτησαν αὐτὸν καὶ εἶπαν αὐτῶ, τί οὗν βαπτίζεις εἰ σὺ οὐκ εἶ ὁ χριστὸς οὐδὲ ἠλίας οὐδὲ ὁ προφήτης;
